,name
0,"A 1 400001 M.R.A. Police Quarters,M.R.A. Road,Fort"
1,"A 2 400001 M.R.A. Bmc Colony,M.R.A. Road,Fort"
2,"A 3 400001 Dcb Building,M.R.A. Marg,Near Crowfard Market,Fort"
3,"A 4 400005 Ganeshmurthi Nagar Part No 2,Captain Prakash Pethe Marg,Colaba Congested Area"
4,"A 5 400005 Ganeshmurthi Nagar Part No 1,3,Captain Prakash Pethe Marg,Colaba Congested Area"
5,"A 6 400005 Shivshakti Nagar,Free Press Journal Road,Nariman Point,Colaba Congested Area"
6,"A 7 400005 Sunder Nagar,Indumati Sakrikar Marg,Near Colaba Market,Colaba Congested Area"
7,"A 8 400005 Geeta Nagar,Dr Homi Bhabha Road,Near Navy Nagar,Colaba Congested Area"
8,"A 9 400005 Ambedkar Nagar,Capt. Prakash Pethe Marg,Colaba Congested Area"
9,"A 10 400005 Azad Nagari,Lala Nigam Road,Colaba Congested Area"
10,"A 11 400005 Maker Tower,G.D.Somani Road,Colaba"
11,"A 12 400005 Machchimar Nagar No.5,Capt. Prakash Pethe Marg,Colaba Congested Area"
12,"A 13 400005 Darya Nagari,Near Jamshedji Bunder,Colaba Congested Area"
13,"A 14 400005 Srpf Police Quarters,,Colaba"
14,"A 15 400005 Chotu Terrace,Near Colab Fire Station,Colaba"
15,"A 16 400020 Bell Heaven Building Servant Quarters,Near Bombay Hospital,New Marine Lines"
16,"B 17 400003 Noor Hospital Building,Mohd Ali Road,Opp. Baig Mohd Playground,Mandvi"
17,"B 18 400003 Noble Tower,Zakeria Masjid Street,Near Hotel Hayat,Mandvi"
18,"B 19 400003 Parveen Manzil,Dontaad Street,Near Zakeria Masjid,Pydhonie"
19,"B 20 400003 Hazira Mansion,Samuel Street,Opp. Hotel Al-Rehmaniya,Masjid Railway Station (W)"
20,"B 21 400003 Parsi Chawl,Nagdevi Street,Opp. Crawford Market, Near Vip Bags Showroom,Crowford Market Congested Area"
21,"B 22 400003 Sami Chawl,Tantanpura Street,Opp. Dar-Ul Madinah Islamic School,Dongri Congested Area"
22,"B 23 400003 Vanjara Building,Memonwada Road,Near Minara Masjid,Dongri"
23,"B 24 400003 Latif House,Kambekar Street,Mandvi"
24,"B 25 400003 Chase Building,Sarang Street,Near Crowford Market,Crowford Market"
25,"B 26 400003 Anl Compound,Behind Ashoka Hotel,Masjid Railway Station (W)"
26,"B 27 400003 Chunawala Building (T-Plot Building),Mohd. Ali Road,Near Mandvi Post Office,Mandvi"
27,"B 28 400003 Hutment,Poona Street,Near Kochar Carries,Chinchbunder Congested Area"
28,"B 29 400003 Barak Manzil,Kambekar Street,Dongri"
29,"B 30 400003 Baria Building,Pinjara Street,Opp. Sadanand Hotel,Carnac Road"
30,"B 31 400009 K J Gandhi Warehouse,Masjid Siding Road,Near Shankar Vilas Hindu Hotel,Masjid Railway Station (E)"
31,"B 32 400009 Noor Building,Nishanpada Road,Near Noor Masjid,Umerkhadi"
32,"B 33 400009 Police Quarters,Imamwada Road,Near Memonwada Fire Station,Bhendi Bazar"
33,"B 34 400009 Bismillah Building,Zakeria Masjid Street,Khadak,Dongri"
34,"B 35 400009 Sydenham B.I.T. Chawl,Ibrahim Rahimtula Road,Near Hp Petrol Pump,Umerkhadi"
35,"B 36 400009 City Arcade,Samant Bhai Nanji Marg,Near Kgn Homoeopathic Health Clinic,Dongri"
36,"B 37 400009 Rehmatbhai Habib House,Navroji Hill Road No.2,Behind Habib Hospital,Dongri"
37,"B 38 400009 Aga Khan Building,Tatanpura Street,Opp Dar-Ul-Madinah Islamic English Medium School,Dongri"
38,"B 39 400009 Mcgm B Ward Labour Staff Quarters,Babula Tank Cross Lane,Mcgm B Ward,Umerkhadi"
39,"B 40 400009 Laxminarayan Chs,Imamwada Rd,Near Mughal Masjid,Umerkhadi"
40,"B 41 400009 Jolly Chamber Building,Navroji Hill Road No. 1,Near Cafe Islam,Dongri"
41,"B 42 400009 Police Line Building,Sardar Vallabhbhai Patel Road,Opp. Memonwada Fire Station,Bhendi Bazar"
42,"B 43 400009 Dastagir Masion,Nishanpada Cross Lane,Near Bombay Central Dairy,Dongri"
43,"B 44 400009 Mandvi Police Qrts.,Mohd Ali Road,Opp. Mandvi Post Office,Bhendi Bazar"
44,"B 45 400009 Sauda Heights,Dr. Meisheri Road,Opp. Sandhurst Road Railway Station,Dongri"
45,"B 46 400009 Mimson House,Lokmanya Tilak Marg,Near Airtel Gallery,Crawford Market"
46,"B 47 400009 Ismail Habib Building,M. A. Sarang Marg (Tandel Street),Near Baba Dargah,Dongri"
47,"B 48 400009 Tawakkal Masion,Nishanpada Road,Dongri"
48,"B 49 400009 Baig Mohd. Building,Ramchandra Bhatt Marg,Near J.J. Hospital Gate No. 6,Dongri"
49,"B 50 400009 Master Building,M. A. Sarang Marg (Tandel Street),Near Amber Sweets,Dongri"
50,"B 51 400009 Wadi Bunder Police Line,Sardar Vallabhbhai Patel Road,Near Mandvi Fire Station,Dongri"
51,"B 52 400009 Bhaucha Dhakka,,Mbpt Area Congested Area"
52,"B 53 400009 Habib Building,Samuel Street,Dongri"
53,"B 54 400009 Zulekha Manzil,Samuel Street,Dongri"
54,"B 55 400009 Aqsa Mansion,Samuel Street,Dongri"
55,"B 56 400009 Masjid Chawl,Sardar Vallabhbhai Patel Road,Dongri Congested Area"
56,"B 57 400009 Bagdad Palace,Nishanpada Road,Opp. Juma Masjid,Dongri"
57,"B 58 400009 Haroon Mazil,Mohammed Ali Road,Opp. Shalimar Hotel,Umerkhadi"
58,"B 59 400009 Mawani Mansion,Samantbhai Nanji Marg,Charnull Junction,Dongri"
59,"B 60 400009 Janmohammad Building,Tandel Street,Near Hajji Abdurrehman Shah Baba Dargah,Dongri"
60,"B 61 400009 Liyakat Manzil,Nishanpada Cross Lane,Near Rehmaniya Castle,Mandvi"
61,"B 62 400009 Mukadam Building,Charnull Junction,Dongri"
62,"B 63 400009 Transit Camp,Imamwada Road,Dongri"
63,"B 64 400009 Baghdad Mansion,Navroji Hill Road No. 5,Dongri"
64,"B 65 400009 Salim Mansion,Ibrahim Mohd. Merchant Road,Near City Heights,Dongri"
65,"B 66 400009 Allu Paru Building,Navroji Hill Road No. 19,Dongri"
66,"B 67 400009 Mohammadi House,Mohammed Ali Road,Pydhonie"
67,"B 68 400009 Bautwala Building,Zakeria Masjid Street,Dongri"
68,"C 69 400002 Siddhesh Apartment,2Nd Khattargalli,Nazvirns Holy,Marine Lines"
69,"C 70 400002 Panchali House,Sadguru Baba Kadam Lane,Dr. M.B Welkar Street,Chirabazar,Marinelines Congested Area"
70,"C 71 400002 1St Floor, Ajanta Guest House Building,Dadi Sheth Agyari Lane,2Nd Fanaswadi, Chira Bazar, Kalbadevi Congested Area"
71,"C 72 400003 5Th Floor, Vivek Building,Kalbadevi Road,Badamwadi,Badamwadi Congested Area"
72,"C 73 400003 Dhobi Bldg,3Rd Kumbharwada,Kumbharwada,Charni Rd Congested Area"
