,lat,lng,name
0,18.9459379,72.8352403,"A 1 400001 M.R.A. Police Quarters,M.R.A. Road,Fort"
1,18.9345189,72.8371021,"A 2 400001 M.R.A. Bmc Colony,M.R.A. Road,Fort"
2,18.9483221,72.8356609,"A 3 400001 Dcb Building,M.R.A. Marg,Near Crowfard Market,Fort"
3,18.9179494,72.8250608,"A 4 400005 Ganeshmurthi Nagar Part No 2,Captain Prakash Pethe Marg,Colaba Congested Area"
4,18.9180166,72.8251581,"A 5 400005 Ganeshmurthi Nagar Part No 1,3,Captain Prakash Pethe Marg,Colaba Congested Area"
5,18.924775,72.8251447,"A 6 400005 Shivshakti Nagar,Free Press Journal Road,Nariman Point,Colaba Congested Area"
6,18.9197182,72.8298531,"A 7 400005 Sunder Nagar,Indumati Sakrikar Marg,Near Colaba Market,Colaba Congested Area"
7,18.9072667,72.8094898,"A 8 400005 Geeta Nagar,Dr Homi Bhabha Road,Near Navy Nagar,Colaba Congested Area"
8,18.9134577,72.8208046,"A 9 400005 Ambedkar Nagar,Capt. Prakash Pethe Marg,Colaba Congested Area"
9,18.9171013,72.8288065,"A 10 400005 Azad Nagari,Lala Nigam Road,Colaba Congested Area"
10,18.916204,72.817656,"A 11 400005 Maker Tower,G.D.Somani Road,Colaba"
11,18.9174726,72.8248492,"A 12 400005 Machchimar Nagar No.5,Capt. Prakash Pethe Marg,Colaba Congested Area"
12,18.9155998,72.8302691,"A 13 400005 Darya Nagari,Near Jamshedji Bunder,Colaba Congested Area"
13,18.9103689,72.8197581,"A 14 400005 Srpf Police Quarters,,Colaba"
14,18.9154742,72.8260795,"A 15 400005 Chotu Terrace,Near Colab Fire Station,Colaba"
15,18.9397534,72.8284255,"A 16 400020 Bell Heaven Building Servant Quarters,Near Bombay Hospital,New Marine Lines"
16,18.9540453,72.833408,"B 17 400003 Noor Hospital Building,Mohd Ali Road,Opp. Baig Mohd Playground,Mandvi"
17,18.9554088,72.8347697,"B 18 400003 Noble Tower,Zakeria Masjid Street,Near Hotel Hayat,Mandvi"
18,18.9541012,72.8346721,"B 19 400003 Parveen Manzil,Dontaad Street,Near Zakeria Masjid,Pydhonie"
19,18.9518278,72.8382898,"B 20 400003 Hazira Mansion,Samuel Street,Opp. Hotel Al-Rehmaniya,Masjid Railway Station (W)"
20,18.9473731,72.8337761,"B 21 400003 Parsi Chawl,Nagdevi Street,Opp. Crawford Market, Near Vip Bags Showroom,Crowford Market Congested Area"
21,18.9531926,72.8353005,"B 22 400003 Sami Chawl,Tantanpura Street,Opp. Dar-Ul Madinah Islamic School,Dongri Congested Area"
22,18.9551515,72.8334772,"B 23 400003 Vanjara Building,Memonwada Road,Near Minara Masjid,Dongri"
23,18.9554189,72.8338458,"B 24 400003 Latif House,Kambekar Street,Mandvi"
24,18.9473731,72.8337761,"B 25 400003 Chase Building,Sarang Street,Near Crowford Market,Crowford Market"
25,18.9518278,72.8382898,"B 26 400003 Anl Compound,Behind Ashoka Hotel,Masjid Railway Station (W)"
26,18.9568126,72.8323813,"B 27 400003 Chunawala Building (T-Plot Building),Mohd. Ali Road,Near Mandvi Post Office,Mandvi"
27,18.9554983,72.8400939,"B 28 400003 Hutment,Poona Street,Near Kochar Carries,Chinchbunder Congested Area"
28,18.9554189,72.8338458,"B 29 400003 Barak Manzil,Kambekar Street,Dongri"
29,18.9478981,72.833963,"B 30 400003 Baria Building,Pinjara Street,Opp. Sadanand Hotel,Carnac Road"
30,18.9501833,72.838921,"B 31 400009 K J Gandhi Warehouse,Masjid Siding Road,Near Shankar Vilas Hindu Hotel,Masjid Railway Station (E)"
31,18.9557603,72.8356668,"B 32 400009 Noor Building,Nishanpada Road,Near Noor Masjid,Umerkhadi"
32,18.9579624,72.8327018,"B 33 400009 Police Quarters,Imamwada Road,Near Memonwada Fire Station,Bhendi Bazar"
33,18.9549518,72.8344932,"B 34 400009 Bismillah Building,Zakeria Masjid Street,Khadak,Dongri"
34,18.960154,72.8391317,"B 35 400009 Sydenham B.I.T. Chawl,Ibrahim Rahimtula Road,Near Hp Petrol Pump,Umerkhadi"
35,18.9597509,72.837815,"B 36 400009 City Arcade,Samant Bhai Nanji Marg,Near Kgn Homoeopathic Health Clinic,Dongri"
36,18.9596559,72.8367664,"B 37 400009 Rehmatbhai Habib House,Navroji Hill Road No.2,Behind Habib Hospital,Dongri"
37,18.9597509,72.837815,"B 38 400009 Aga Khan Building,Tatanpura Street,Opp Dar-Ul-Madinah Islamic English Medium School,Dongri"
38,18.9615112,72.8333242,"B 39 400009 Mcgm B Ward Labour Staff Quarters,Babula Tank Cross Lane,Mcgm B Ward,Umerkhadi"
39,18.9593674,72.8333531,"B 40 400009 Laxminarayan Chs,Imamwada Rd,Near Mughal Masjid,Umerkhadi"
40,18.9589707,72.8377555,"B 41 400009 Jolly Chamber Building,Navroji Hill Road No. 1,Near Cafe Islam,Dongri"
41,18.9579624,72.8327018,"B 42 400009 Police Line Building,Sardar Vallabhbhai Patel Road,Opp. Memonwada Fire Station,Bhendi Bazar"
42,18.9563883,72.835781,"B 43 400009 Dastagir Masion,Nishanpada Cross Lane,Near Bombay Central Dairy,Dongri"
43,18.9568126,72.8323813,"B 44 400009 Mandvi Police Qrts.,Mohd Ali Road,Opp. Mandvi Post Office,Bhendi Bazar"
44,18.9607549,72.8384027,"B 45 400009 Sauda Heights,Dr. Meisheri Road,Opp. Sandhurst Road Railway Station,Dongri"
45,18.9473731,72.8337761,"B 46 400009 Mimson House,Lokmanya Tilak Marg,Near Airtel Gallery,Crawford Market"
46,18.9568956,72.8347627,"B 47 400009 Ismail Habib Building,M. A. Sarang Marg (Tandel Street),Near Baba Dargah,Dongri"
47,18.9587993,72.8361776,"B 48 400009 Tawakkal Masion,Nishanpada Road,Dongri"
48,18.9620286,72.8345422,"B 49 400009 Baig Mohd. Building,Ramchandra Bhatt Marg,Near J.J. Hospital Gate No. 6,Dongri"
49,18.9558068,72.8365931,"B 50 400009 Master Building,M. A. Sarang Marg (Tandel Street),Near Amber Sweets,Dongri"
50,18.9582963,72.838941,"B 51 400009 Wadi Bunder Police Line,Sardar Vallabhbhai Patel Road,Near Mandvi Fire Station,Dongri"
51,18.9571313,72.8494621,"B 52 400009 Bhaucha Dhakka,,Mbpt Area Congested Area"
52,18.9597888,72.8369391,"B 53 400009 Habib Building,Samuel Street,Dongri"
53,18.9563305,72.8366904,"B 54 400009 Zulekha Manzil,Samuel Street,Dongri"
54,18.9563305,72.8366904,"B 55 400009 Aqsa Mansion,Samuel Street,Dongri"
55,18.9583842,72.837807,"B 56 400009 Masjid Chawl,Sardar Vallabhbhai Patel Road,Dongri Congested Area"
56,33.315241,44.3660671,"B 57 400009 Bagdad Palace,Nishanpada Road,Opp. Juma Masjid,Dongri"
57,18.950858,72.834852,"B 58 400009 Haroon Mazil,Mohammed Ali Road,Opp. Shalimar Hotel,Umerkhadi"
58,18.9588938,72.8365797,"B 59 400009 Mawani Mansion,Samantbhai Nanji Marg,Charnull Junction,Dongri"
59,18.9567062,72.8348308,"B 60 400009 Janmohammad Building,Tandel Street,Near Hajji Abdurrehman Shah Baba Dargah,Dongri"
60,18.9565769,72.8353393,"B 61 400009 Liyakat Manzil,Nishanpada Cross Lane,Near Rehmaniya Castle,Mandvi"
61,18.9597509,72.837815,"B 62 400009 Mukadam Building,Charnull Junction,Dongri"
62,18.9593062,72.8331724,"B 63 400009 Transit Camp,Imamwada Road,Dongri"
63,18.9607807,72.8379094,"B 64 400009 Baghdad Mansion,Navroji Hill Road No. 5,Dongri"
64,18.9597509,72.837815,"B 65 400009 Salim Mansion,Ibrahim Mohd. Merchant Road,Near City Heights,Dongri"
65,18.9593794,72.8373546,"B 66 400009 Allu Paru Building,Navroji Hill Road No. 19,Dongri"
66,18.9566733,72.8327624,"B 67 400009 Mohammadi House,Mohammed Ali Road,Pydhonie"
67,18.9549518,72.8344932,"B 68 400009 Bautwala Building,Zakeria Masjid Street,Dongri"
68,18.9530461,72.8256707,"C 69 400002 Siddhesh Apartment,2Nd Khattargalli,Nazvirns Holy,Marine Lines"
69,18.9479789,72.8272504,"C 70 400002 Panchali House,Sadguru Baba Kadam Lane,Dr. M.B Welkar Street,Chirabazar,Marinelines Congested Area"
70,18.9496789,72.8264147,"C 71 400002 1St Floor, Ajanta Guest House Building,Dadi Sheth Agyari Lane,2Nd Fanaswadi, Chira Bazar, Kalbadevi Congested Area"
71,18.949316,72.829243,"C 72 400003 5Th Floor, Vivek Building,Kalbadevi Road,Badamwadi,Badamwadi Congested Area"
72,18.9597997,72.827361,"C 73 400003 Dhobi Bldg,3Rd Kumbharwada,Kumbharwada,Charni Rd Congested Area"
73,18.9531261,72.8301779,"C 74 400003 Bldg No 46,1St Bhoiwada,Bhuleshwar,Charni Road"
74,18.9531926,72.8353005,"C 75 400003 Bldg No 78,Bada Jagdish Mandir,Bhuleshwar,Charni Road"
75,18.9543643,72.8303845,"C 76 400003 Mahavir Mansion,Gulalwadi,Gulalwadi,Charni Road Congested Area"
76,18.9516918,72.8252228,"C 77 400003 Khemakaer Chawl,Fanaswadi,Fanaswadi,Charni Road Congested Area"
77,18.9568126,72.8323813,"C 78 400003 Bldg No 68,Kazi Street,Mandavi Post Office,Charni Road"
78,18.9482867,72.8238612,"C 79 400003 Shriji Bhavan,Gazdar Street,Gazdar Street,Charni Road"
79,18.9475518,72.8276907,"C 80 400003 Madan House,Dr M B Velkar Street,Waka Muhalla,Marine Lines"
80,18.9531926,72.8353005,"C 81 400003 Mithawala Building,Iind Cross Lane,Ghoughari Mohalla,Marine Lines"
81,18.9531926,72.8353005,"C 82 400003 Sighriya Bldg,Ganesh Baug,Near By Vijay Dairy,Charni Road Congested Area"
82,18.9517545,72.8183688,"C 83 400003 Karnatak Mahal,Zaobawadi,Charni Road Congested Area"
83,18.9517545,72.8183688,"C 84 400003 Jamundas Bldg,2 Taki,Charni Road Congested Area"
84,18.9574184,72.8294613,"C 85 400003 Haji Kasam Bldg.,,Charni Road Congested Area"
85,18.9517545,72.8183688,"C 86 400003 Ganesh Bhuvan,2Nd Kumbharwada,Charni Road Congested Area"
86,18.9603221,72.827236,"C 87 400003 Vyas Bldg,3Rd Kumbharwada,Dr.Mahimtura Marg,Charni Road Congested Area"
87,18.9517545,72.8183688,"C 88 400003 Pravin House,4Th Kumbharwada,Charni Road Congested Area"
88,18.958921,72.8283881,"C 89 400003 Chandramahal,1St Kumbharwada,Charni Road Congested Area"
89,18.9517545,72.8183688,"C 90 400003 Rangwala Bldg,Isalampura Street,Girgaoan,Charni Road Congested Area"
90,18.9517545,72.8183688,"C 91 400003 1St Floor,1St Sutargully,Cp Tank,Charni Road Congested Area"
91,18.9531926,72.8353005,"C 92 400003 Tulsidas Jethalal Bldg,Girgaoan,Charni Road Congested Area"
92,18.9517545,72.8183688,"C 93 400003 Glasswala Bldg,Bara Imam Road,Charni Road Congested Area"
93,18.9517545,72.8183688,"C 94 400003 Masjid X Lane,Charni Road"
94,18.9551592,72.8283292,"C 95 400003 Panchayatwadi,Bhuleshwar,Charni Road"
95,18.9579532,72.8197819,"C 96 400003 Sant Sena Mharaj Marg, Near Galli Mandir,S.V.P.Road, Girgaon,Charni Road Congested Area"
96,18.9585763,72.826388,"C 97 400003 Dr Bldg,5Th Kumbharwada,Girgaon,Charni Road Congested Area"
97,18.957197,72.8179968,"C 98 400003 Nagu Kamathi Chawl,Bhandarwada A, Cross Lane,Girgaon,Charni Road Congested Area"
98,18.9581207,72.8280391,"C 99 400003 Manaji Bldg,1St Bhandari Street, Near Goal Deol,Girgaon,Charni Road Congested Area"
99,18.9600648,72.8277273,"C 100 400003 Vishwaheera Bldg,Sant Sena Mharaj Marg, Goldeol,Girgaon,Charni Road Congested Area"
100,18.9517545,72.8183688,"C 101 400003 Kherwadi Bldg,Girgaon,Charni Road Congested Area"
101,18.9578557,72.8295767,"C 102 400003 Noor Estate,Ali Noor Sreet, Opp. Null Bazar,Charni Road"
102,18.9561679,72.8309579,"C 103 400003 Sumlight House,Ghoghari Mohalla,Near Pydhonie,Charni Road"
103,18.9517545,72.8183688,"C 104 400003 Manimahal Bldg,C.P.Tank,Charni Road Congested Area"
104,18.9517545,72.8183688,"C 105 400003 Tayyabi Bldg,2Nd Kumbharwada,Charni Road Congested Area"
105,18.9517545,72.8183688,"C 106 400003 Dodiya House,4Th Kumbharwada,Charni Road Congested Area"
106,18.955336,72.8300593,"C 107 400003 Dwarkadas Mansion,Bapu Khote Street,Pydonie,Charni Road Congested Area"
107,18.9570625,72.8280765,"C 108 400003 Jamnabai Bldg,Bhandari Street,Kumbharwada,Charni Road Congested Area"
108,18.9600513,72.8283321,"C 109 400003 Laxmi Bldg,Kumbharwada,Charni Road Congested Area"
109,18.9517545,72.8183688,"C 110 400003 Bhuleshwar Road,Charni Road Congested Area"
110,18.9478967,72.8311258,"C 111 400003 Manjoba Chs,Babu Genu Road,Dawa Bazar Congested Area"
111,18.9581207,72.8280391,"C 112 400003 Masjid Building,Bhandari Street,Girgaon,Charni Road Congested Area"
112,18.9603221,72.827236,"C 113 400003 Somji Bldg,3Rd Kumbharwada,Girgaon,Charni Road Congested Area"
113,18.9480852,72.8275237,"C 114 400003 Subhadra Bldg,1St Sp Marg,Chirabazar,Charni Road Congested Area"
114,18.9578557,72.8295767,"C 115 400003 Gani Castle Amar Street,Null Bazar,"
115,18.9578557,72.8295767,"C 116 400003 Kanchwala Bldg1St Floor,Usman Brigadier Marg, Eraskin Road,Null Bazar Congested Area"
116,18.9525781,72.8274072,"C 117 400003 3Rd Floor, Jai Hind Estate,Dr.A.M.Road,Bhuleshwar Congested Area"
117,18.9603221,72.827236,"C 118 400003 ,3Rd Kumbharwada Congested Area"
118,18.9607261,72.8205754,"D 119 400004 Yusuf Mansion,2Nd Cross Lane,Khetwadi  Congested Area"
119,18.9581018,72.8233148,"D 120 400004 Khetwadi 3Rd Cross Lane,Panchmukhi Hanuman Temple,Khetwadi"
120,18.9555474,72.8249282,"D 121 400004 Ashok Bldg,Ad Street Opp Chandaramji School,Charni Raod"
121,18.9580748,72.8252778,"D 122 400004 Lehari Mnsion,Khetwadi 2Nd Lane,Khetwadi Congested Area"
122,18.9602477,72.824753,"D 123 400004 419 Noor Mohammad Begum Bldg,V.P Road,Girgoan"
123,18.9579877,72.8214399,"D 124 400004 Bldg No 3 Gaiwadi,Near Vyaym Shala,Girgoan"
124,18.9535028,72.82085,"D 125 400004 Poonawala Bldg,J S S Road,Kele Wadi,Girgaon"
125,18.955026,72.8236451,"D 126 400004 Narayanwadi,Khadilkar Road,C P Tank"
126,18.9596032,72.8213152,"D 127 400004 Govardhan Bhuvan,11Th Khetwadi "
127,18.9609873,72.8233195,"D 128 400004 Dinath Bldg,P B Marg,Grant Raod,Grant Raod"
128,18.9542106,72.8181375,"D 129 400004 Bldg No 40,R R Marg,"
129,18.9588081,72.8242452,"D 130 400004 Moti Mansion,5Th Lane,Khetwadi,Girgaon"
130,18.9579877,72.8214399,"D 131 400004 Vinayak Vibhuti,Lamington Rd,Near Dreamland Cinema,Grant Raod East"
131,18.9532945,72.8232912,"D 132 400004 Bldg 33/H,Mughbhat Cross Lane,Girgaon"
132,18.9598051,72.8254552,"D 133 400004 16 Meher Baksh,6Th Kharwa Lane,Girgaon"
133,18.9556405,72.820307,"D 134 400004 Khushboo Bldg,Datta Mandir,Kotachiwadi"
134,18.9602024,72.8244107,"D 135 400004 7Th Haji Suleman Bldg,P B Marg,9Th Cross Lane Masjid Lane,Grant Road"
135,18.9536838,72.8226402,"D 136 400004 Bedekar Sadan,Tatya Gharpure Path,Girgaon"
136,18.9593705,72.8251478,"D 137 400004 Badsha Bldg,P.B Marg,"
137,18.9513341,72.8028149,"D 138 400006 Sagar Nagar,Walkeshwar,Walkeshwar Rd"
138,18.9570948,72.7997731,"D 139 400006 Mata Pravati Rahvasi Sangh,Dr. B.I Rd,Walakeshwar,Napean Sea Rd Congested Area"
139,18.9540855,72.8004477,"D 140 400006 Prem Nagar Zopadapai,Dr B.I Road,Malabar Hill Congested Area"
140,18.9540855,72.8004477,"D 141 400006 Sagar Nagar Zopadapati,Dr B.I Road,Near Kalimata Nagar,Walkeshwar Congested Area"
141,18.9454723,72.7936432,"D 142 400006 Ramkhud Nagar,Banganga,Walkeshwar"
142,18.9595882,72.8172203,"D 143 400007 Firoza Mansion,Lamington Road,Shapur Baug,Grant Road"
143,18.9647811,72.8151931,"D 144 400007 Ratan Luxuria,Grant Rd,Nathia Hospital,Grant Rd"
144,18.9683081,72.813105,"D 145 400007 Vastu Shilp Chs,Gamadia Colony,Tardeo"
145,18.9631687,72.8199267,"D 146 400007 Singhania Bldg,Balaram Street,Grant Road"
146,18.9661532,72.8149886,"D 147 400007 Dattatray Bldg,Tukaram Javaji Rd,Grant Road West"
147,18.9618411,72.8133825,"D 148 400007 Khilchi Terrace,R.K Street,Near Mallan Mall Market"
148,18.9634041,72.8213901,"D 149 400007 Abbasi Bldg,P B Marg,Play House Bus Stop "
149,18.9650866,72.818919,"D 150 400007 Navyug Niwas, Lamington Road,Opp Minerva Cnema,Grant Raod"
150,18.9583115,72.8114671,"D 151 400007 Geeta Biulding,Pandita Ramabai Rd,Gamdevi"
151,18.9631687,72.8199267,"D 152 400007 Rippon Bldg,Balaram Street,Grant Road East"
152,18.9590382,72.8131962,"D 153 400007 48 Jk Bldg,D G Marg,Gamdevi Temple,Grant Road"
153,18.9616007,72.8205674,"D 154 400007 United Chamber,M S Ali Rd,Opp Bharat Nagar"
154,18.9636949,72.8215909,"D 155 400008 Murga Giran Building,P B Marg,Kamathipura,Kamathipura"
155,18.9662344,72.8234191,"D 156 400008 Mangli Kanduri Chawl,R S Nimkar Marg,Grant Road Congested Area"
156,18.9630543,72.8215794,"D 157 400008 Batata Chawl,P B Marg,Grant Road,Grant Rd Congested Area"
157,18.961031,72.8260643,"D 158 400008 Noor Manzil,6Th Kumbharwada,Chor Bazar,Kamathipura"
158,,,"D 159 400008 Lokhandwala Chawl,Bapty Road,Arab Galli,Grant Road Congested Area"
159,18.9602024,72.8244107,"D 160 400008 Karim Bldg,P.B Marg,9Th Cross Lane,Grant Rd"
160,32.2506076,-110.9109109,"D 161 400008 Rpf Barrack Terrace,Grant Rd East,Grant Rd"
161,18.9632775,72.8224268,"D 162 400008 Hakimwadi,P.B Marg,Opp Daulat Complex,Grant Rd"
162,18.9686276,72.8220111,"D 163 400008 B I T Chawl No 16,Bellasis Rd,Mumbai Central Congested Area"
163,18.9622728,72.8225317,"D 164 400008 Purshottam Bldg,P B Marg,"
164,18.9611624,72.8261147,"D 165 400008 32 Kasam Bldg,T.P Raod,Kamathipura,Girgaon"
165,18.9617757,72.8244304,"D 166 400008 Kukawala Bldg,M.S Ali Road,Mumbai Central"
166,18.9671396,72.8286571,"D 167 400008 Shankarseth Chawl,Jairaj Bai Lane,"
167,18.9671396,72.8286571,"D 168 400008 150 Muncipal Chawl,Shuklaji Street,Opp Bilal Masjid,Grant Road"
168,18.9653927,72.8182417,"D 169 400008 Parvati Mansion,Kharva Galli,Grant Road East"
169,18.9683324,72.8203431,"D 170 400008 Narthani Hights,Lamington Road,Opp Mumbai Central "
170,18.9633235,72.8162577,"D 171 400008 Habib Manzil,Grant Raod,Grant Raod"
171,18.963635,72.8239112,"D 172 400008 Suleman Tower,Bapty Rd,Grant Raod"
172,18.9671396,72.8286571,"D 173 400008 Lokhandwala Bldg,Kharva Lane,Grant Raod"
173,18.9631328,72.8229729,"D 174 400008 Crystal Tower,Arab Lane,M .T Ansari Marg,Grant Road"
174,18.972711,72.804394,"D 175 400026 Shyam Niwas Building,Bhulabai Desai Road,Breach Candy Hospital,Cumballa Hil"
175,18.9674939,72.8039566,"D 176 400026 Vallabh Apartment,Bhulabai Desai Road,Breach Candy Hospital,Cumballa Hill"
176,18.972711,72.804394,"D 177 400026 Stable Building,Bhulabhai Desai Rd,Breach Candy Hospital,Malbar Hill"
177,18.9723185,72.8051864,"D 178 400026 Darya Sagar Zopadapai,B.D Road,Mahalaxmi Congested Area"
178,18.9719567,72.8093794,"D 179 400026 It Colony,Off Pedder Road,Cumbala Hill"
179,18.9490032,72.7962294,"D 180 400026 Shirpal Nagar,J Mehta Marg,Rangatha Lane"
180,18.9743341,72.813413,"D 181 400034 Dmd Jhopadpatti,Tardeo Rd,Tulsiwadi,Tardeo Congested Area"
181,18.9763957,72.8184145,"D 182 400034 Tulsiwadi Zopadpatti,Bhanjibhai Rathod Marg,Mata Mandir,Tardeo Congested Area"
182,18.9724162,72.8148177,"D 183 400034 A1 Bldg,Ambedkar Nagar,Tardeo"
183,18.9747163,72.8139964,"D 184 400034 Tulsiwadi Zopadpatti,B R Marg,Tulsiwadi Congested Area"
184,18.9728294,72.818386,"D 185 400034 Tulsiwadi Zopadpatti,Behind Post Office,Tulsiwadi Congested Area"
185,18.9732783,72.8167861,"D 186 400034 R.T.O Chana Shop,Near Tardeo Rto,Tardeo"
186,18.9718535,72.8131046,"D 187 400034 Ashirwad Bldg,Tardeo Raod,Mumbai Central,Janata Nagar"
187,18.9693159,72.8160781,"D 188 400034 Gandhi Mansion,Wadia Streer,Tardeo,Tardeo"
188,18.9695434,72.8141132,"D 189 400034 Bldg No 7,Tardeo Road,Tardeo Police Camp,Tradeo"
189,18.9728588,72.8139719,"D 190 400034 Germen Darshan,Ac Market,Tradeo"
190,18.9702878,72.8156126,"D 191 400034 Ambika Bhavan,Wadia Street,Tardeo"
191,18.9756062,72.8134544,"D 192 400034 Bldg No 6 Arya Nagar,Tulsiwadi,Tardeo"
192,18.9747163,72.8139964,"D 193 400034 Rtp Lane,Tulsiwadi,Tardeo"
193,18.9763957,72.8184145,"D 194 400034 Bhanjibhai Rathod Marg,Tulsiwadi,Tardeo"
194,18.9747163,72.8139964,"D 195 400034 Transit Camp No 10,Tulsiwadi,Tardeo Congested Area"
195,18.9691984,72.8124011,"D 196 400034 New Jaiphalwadi,Tardeo,Tardeo"
196,18.9703272,72.8136495,"D 197 400034 Shiv Darshan Bldg,M P Mill Compound,Tardeo"
197,18.959984,72.8037254,"D 198 400036 Godreg Baug,Napean Sea Rd,Napean Sea Rd"
198,18.9649331,72.8116622,"D 199 400036 Caswasji Bhedwar (Dhobighat) Chawl,Forjett Street,Grant Road West,Grant Road West Congested Area"
199,18.9625236,72.8050184,"D 200 400036 Anurag Bldg,B D Road,"
200,18.961954,72.8284325,"E 201 400008 Bmc Bldg.,Chandramani Buddhvihar Marg,Two Tank,Kamathipura"
201,18.9807447,72.8270215,"E 202 400008 666 Tenament,B J Marg,Jocob Circle,Byculla Congested Area"
202,18.9719086,72.8258845,"E 203 400008 Shirinbhai Chawl,Morland Road,Mumbai Central"
203,18.9753596,72.8312175,"E 204 400008 Patra Chawl,B. J. Marg,Byculla"
204,18.9716581,72.8269844,"E 205 400008 Nayee Chawl,3Rd Ghelabhai Lane,Mandapura Congested Area"
205,18.964976,72.8260382,"E 206 400008 7Th Lane,Kamathipura Congested Area"
206,18.9628838,72.8260565,"E 207 400008 Kasam Hathi Chawl,Kamathipura 1St Lane,Kamathipura Congested Area"
207,18.9678201,72.828458,"E 208 400008 Bambkhana,M.A. Road,Kamathipura(Eye Hospital),Kamathipura"
208,18.9671396,72.8286571,"E 209 400008 2Nd & 4Th Lane,Kamathipura"
209,18.9718778,72.8313269,"E 210 400008 Fire Brigade Office,Shaikh Hafizuddin Marg,Behind Bmc E Ward Office,Byculla"
210,18.9705424,72.8280025,"E 211 400008 Aksa Manzil,M A Road Madanpura,Ghosh Bazar,Byculla Congested Area"
211,18.9648916,72.8261411,"E 212 400008 7Th Gully,Kamthipura,Byculla Congested Area"
212,18.9622042,72.8303499,"E 213 400008 Acharwala Building,Undriya Street Nagpada,Nagpada,Byculla"
213,18.9652566,72.8295224,"E 214 400008 Haji Building, Opposite Garden Hall,Vasil Khan Marg, Ahbedhi Bakhri Retha Bakri,Nagpada,Byculla"
214,18.9755095,72.8280764,"E 215 400008 Bmc Chawl, Milind Nagar,Tank Pakadi Road,Opposite Shamim Palace,Byculla Congested Area"
215,18.988824,72.834143,"E 216 400008 Bavala Building,Megraj Sethi Marg,Near Badlu Rangari Street, Huda Masjid,Byculla"
216,18.966793,72.8332684,"E 217 400008 Hiraji Govindji Bldg.,Sir J J Road,Richardson Crudas,Byculla"
217,18.9695993,72.8327095,"E 218 400008 Arkediya Bldg,Near J J Road,Byculla"
218,18.9626588,72.82533,"E 219 400008 Sidharth Nagar,Nagpada,Eye Hospital,Byculla"
219,18.9639366,72.8334328,"E 220 400008 Old Boys Hostel J J Compound Quarters,Jj Road,Jj Hospital,Byculla"
220,18.9656126,72.830147,"E 221 400008 Bootvala Building Roadside Saloon,Dimtimkar Road Nagpada,Opposite Ahmed Solar School,Byculla"
221,18.9703745,72.8271764,"E 222 400008 Chasmawali Chawl Ghosht Bajar,Mohb. U Rajja Road Madanpura,Byculla Congested Area"
222,18.9721213,72.824776,"E 223 400008 Suhag Palace Ymca Ground,Agripada,Ymca Ground,Byculla"
223,18.9681708,72.8325333,"E 224 400008 Mt Section B Block Near Sevaniketan Petrol Pump,Sheafered Road,Shankar Mandir,Byculla"
224,18.9754852,72.8274008,"E 225 400008 Mt Real Building 2Tank,Ma Road,Police Chowki,Byculla"
225,18.9671396,72.8286571,"E 226 400008 Building No.101,6Th Lane,Shankar Pupala Road,Nakoda Medical Store,Byculla"
226,18.97063,72.8263224,"E 227 400008 Mombatti Manzil,Mohd Umar Razzak Road,Ghoshbazar Opp. Mohd Razzak School,Byculla"
227,18.9637153,72.8298879,"E 228 400008 Chawl No.21, Kazipura,M.A.Road,Next To Sagar Hotel,Byculla"
228,18.9670153,72.8292274,"E 229 400008 Jamunadas Building,2Taki,Nagpada,Near V.P. Road Police Station,Nagpada"
229,18.9720215,72.8288694,"E 230 400008 Pattharvali Building Baban Gully,Sakali Street,Ashadhan,Byculla"
230,18.9706917,72.8274323,"E 231 400008 Sutar Gully,Morland Road,Ghosht Bajar,Byculla"
231,18.9758224,72.8343323,"E 232 400008 Aarcivala Building,3Rd Pirkhan Street,Opp. Zulfikar Hotel,Byculla"
232,18.9629624,72.8299654,"E 233 400008 Gajghar Building, Jj Hospital Nagpada,27 Undriya Street,Masjid,Byculla"
233,18.9661321,72.8388506,"E 234 400008 Vidyut Locoshed,Shivdas Chapsi Road Mazgaon, Infinity Tower,Byculla Congested Area"
234,18.9670153,72.8292274,"E 235 400008 Om Niwas Kamthipura 8Th Lane,Nagpada,Nagpada Police Station,Byculla"
235,18.9648916,72.8261411,"E 236 400008 Bmc Chawl,Kamathipura,Joshi Bhaji Market,Byculla Congested Area"
236,18.9719086,72.8258845,"E 237 400008 Shivam Appartment,Kamathipura Morland Road,Bhaji Market,Byculla"
237,18.9682864,72.8309623,"E 238 400008 Zainab Tower,Nagpada,Opposite Samudra Resturant,Nagpada"
238,18.965435,72.826269,"E 239 400008 Suchak Building 8Th Lane,Kamathipura,Amin Patel Office,Byculla"
